source,target,value
Rekha,Rishi Kapoor,6
Rekha,Arshad Warsi,1
Rekha,Feroz Khan,6
Rekha,Saif Ali Khan,2
Rekha,Vinod Khanna,11
Rekha,Kulbhushan Kharbanda,7
Rekha,Sachin Khedekar,2
Rekha,Anupam Kher,9
Rekha,Manisha Koirala,1
Rekha,Akshay Kumar,1
Rekha,Johny Lever,5
Rekha,Pawan Malhotra,1
Rekha,Govind Namdeo,3
Rekha,Neelam Kothari,1
Rekha,Amrish Puri,12
Rekha,Om Puri,4
Rekha,Rajinikanth,3
Rekha,Paresh Rawal,3
Rekha,Raima Sen,1
Rekha,Naseeruddin Shah,6
Rekha,Farooq Shaikh,5
Rekha,Kim Sharma,1
Rekha,Rajesh Sharma,2
Rekha,Jimmy Shergill,1
Rekha,Neetu Singh,4
Rekha,Raveena Tandon,2
Rekha,Arjun Rampal,1
Rekha,Vivek Oberoi,1
Rekha,Dia Mirza,1
Rekha,Aarti Chhabria,1
Rekha,Priyanka Chopra Jonas,1
Rekha,Samir Soni,1
Rekha,Mallika Sherawat,1
Rekha,Vidya Balan,1
Rekha,Govardhan Asrani,26
Rekha,Kriti Kharbanda,1
Rekha,Sonakshi Sinha,1
Hrithik Roshan,Kajol,1
Hrithik Roshan,Dharmendra,1
Hrithik Roshan,Sridevi,1
Hrithik Roshan,Juhi Chawla,1
Hrithik Roshan,Hema Malini,1
Hrithik Roshan,Sanjay Dutt,2
Hrithik Roshan,Kareena Kapoor,4
Hrithik Roshan,Karisma Kapoor,1
Hrithik Roshan,Preity G Zinta,5
Hrithik Roshan,Jackie Shroff,2
Hrithik Roshan,Shakti Kapoor,2
Hrithik Roshan,Raj Babbar,2
Hrithik Roshan,Aruna Irani,1
Hrithik Roshan,Abhishek Bachchan,2
Hrithik Roshan,Mohnish Behl,2
Hrithik Roshan,Manoj Bajpayee,1
Hrithik Roshan,Bipasha Basu,1
Hrithik Roshan,Jaya Bachchan,2
Hrithik Roshan,Danny Denzongpa,2
Hrithik Roshan,Esha Deol,1
Hrithik Roshan,Prabhu Deva,1
Hrithik Roshan,Ajay Devgn,1
Hrithik Roshan,Vikram Gokhale,1
Hrithik Roshan,Govinda,1
Hrithik Roshan,Vrajesh Hirjee,3
Hrithik Roshan,Jaaved Jaaferi,1
Hrithik Roshan,Farida Jalal,3
Hrithik Roshan,Jeetendra,3
Hrithik Roshan,Dimple Kapadia,1
Hrithik Roshan,Anil Kapoor,1
Hrithik Roshan,Rishi Kapoor,3
Hrithik Roshan,Supriya Karnik,1
Hrithik Roshan,Saif Ali Khan,2
Hrithik Roshan,Shah Rukh Khan,3
Hrithik Roshan,Kulbhushan Kharbanda,1
Hrithik Roshan,Sachin Khedekar,3
Hrithik Roshan,Anupam Kher,1
Hrithik Roshan,Isha Koppikar,1
Hrithik Roshan,Akshay Kumar,1
Hrithik Roshan,Johny Lever,5
Hrithik Roshan,Pawan Malhotra,1
Hrithik Roshan,Rani Mukerji,2
Hrithik Roshan,Chunky Pandey,1
Hrithik Roshan,Ameesha Patel,2
Hrithik Roshan,Amrish Puri,3
Hrithik Roshan,Om Puri,3
Hrithik Roshan,Aishwarya Rai Bachchan,3
Hrithik Roshan,Rajinikanth,1
Hrithik Roshan,Paresh Rawal,1
Hrithik Roshan,Sushmita Sen,1
Hrithik Roshan,Naseeruddin Shah,4
Hrithik Roshan,Rajesh Sharma,1
Hrithik Roshan,Jimmy Shergill,1
Hrithik Roshan,Saurabh Shukla,1
Hrithik Roshan,Mukesh Tiwari,1
Hrithik Roshan,Ashish Vidyarthi,1
Hrithik Roshan,Arjun Rampal,1
Hrithik Roshan,Farhan Akhtar,4
Hrithik Roshan,Rajpal Naurang Yadav,1
Hrithik Roshan,Vivek Oberoi,2
Hrithik Roshan,Lara Dutta,1
Hrithik Roshan,Boman Irani,4
Hrithik Roshan,Katrina Kaif,3
Hrithik Roshan,Priyanka Chopra Jonas,4
Hrithik Roshan,Konkona Sen Sharma,1
Hrithik Roshan,Ranvir Shorey,1
Hrithik Roshan,Rimi Sen,1
Hrithik Roshan,Sonu Sood,1
Hrithik Roshan,Raju Srivastava,1
Hrithik Roshan,Kunal Kapoor,1
Hrithik Roshan,Sophiya Chaudhary,1
Hrithik Roshan,Abhay Deol,1
Hrithik Roshan,Deepika Padukone,1
Hrithik Roshan,Kangana Ranaut,2
Hrithik Roshan,Govardhan Asrani,1
Hrithik Roshan,Radhika Apte,1
Hrithik Roshan,Pankaj Tripathi,3
Hrithik Roshan,Mahie Gill,1
Hrithik Roshan,Aditya Roy Kapoor,1
Hrithik Roshan,Kalki Koechlin,1
Hrithik Roshan,Ranveer Singh,1
Hrithik Roshan,Yami Gautam,1
Hrithik Roshan,Pooja Hegde,1
Hrithik Roshan,Vaani Kapoor,1
Hrithik Roshan,Urvashi Rautela,1
Hrithik Roshan,Tiger Shroff,1
Hrithik Roshan,Kiara Advani,1
Hrithik Roshan,Mrunal Thakur,1
Kajol,Dharmendra,2
Kajol,Juhi Chawla,2
Kajol,Sanjay Dutt,4
Kajol,Kareena Kapoor,2
Kajol,Karisma Kapoor,1
Kajol,Preity G Zinta,3
Kajol,Jackie Shroff,2
Kajol,Salman Khan,3
Kajol,Tabu,1
Kajol,Shakti Kapoor,1
Kajol,Sonali Bendre,2
Kajol,Tinnu Anand,1
Kajol,Raj Babbar,1
Kajol,Aruna Irani,2
Kajol,Abhishek Bachchan,1
Kajol,Mohnish Behl,2
Kajol,Bipasha Basu,1
Kajol,Jaya Bachchan,2
Kajol,Jaspal Bhatti,1
Kajol,Rahul Bose,1
Kajol,Mithun Chakraborty,1
Kajol,Mahima Chaudhry,1
Kajol,Bobby Deol,1
Kajol,Prabhu Deva,1
Kajol,Ajay Devgn,14
Kajol,Avtar Gill,1
Kajol,Milind Gunaji,1
Kajol,Vrajesh Hirjee,1
Kajol,Farida Jalal,8
Kajol,Jeetendra,1
Kajol,Kader Khan,4
Kajol,Anil Kapoor,1
Kajol,Rishi Kapoor,4
Kajol,Kunal Kemmu,1
Kajol,Aamir Khan,3
Kajol,Arbaaz Khan,1
Kajol,Irrfan Khan,1
Kajol,Saif Ali Khan,5
Kajol,Shah Rukh Khan,12
Kajol,Sohail Khan,1
Kajol,Mukesh Khanna,1
Kajol,Vinod Khanna,2
Kajol,Kulbhushan Kharbanda,3
Kajol,Sachin Khedekar,1
Kajol,Anupam Kher,4
Kajol,Manisha Koirala,1
Kajol,Isha Koppikar,1
Kajol,Atul Kulkarni,1
Kajol,Akshay Kumar,1
Kajol,Johny Lever,8
Kajol,Sanjay Mishra,2
Kajol,Rani Mukerji,6
Kajol,Govind Namdeo,1
Kajol,Nassar,1
Kajol,Neelam Kothari,1
Kajol,Chunky Pandey,1
Kajol,Vinay Pathak,2
Kajol,Prakash Raj,2
Kajol,Amrish Puri,4
Kajol,Om Puri,2
Kajol,Paresh Rawal,1
Kajol,Rajesh Sharma,1
Kajol,Jimmy Shergill,1
